t,anomaly,location,latitude,longitude
1993-04-07,1,Sandy Hook,40.466944,-74.009444
1993-04-07,1,Atlantic City,39.356667,-74.418053
1993-04-08,1,Eastport,44.904598,-66.982903
1993-04-08,1,Lewes,38.78278,-75.119164
1993-04-08,1,Washington,38.873,-77.0217
1993-04-08,1,Sandy Hook,40.466944,-74.009444
1993-04-09,1,Eastport,44.904598,-66.982903
1993-04-10,1,Eastport,44.904598,-66.982903
1993-04-16,1,Baltimore,39.266944,-76.579444
1993-04-16,1,Washington,38.873,-77.0217
1993-04-17,1,Washington,38.873,-77.0217
1993-04-28,1,Baltimore,39.266944,-76.579444
1993-04-29,1,Washington,38.873,-77.0217
1993-05-06,1,Eastport,44.904598,-66.982903
1993-05-07,1,Eastport,44.904598,-66.982903
1993-05-08,1,Eastport,44.904598,-66.982903
1993-06-04,1,Eastport,44.904598,-66.982903
1993-06-05,1,Atlantic City,39.356667,-74.418053
1993-08-07,1,Washington,38.873,-77.0217
1993-08-19,1,Lewes,38.78278,-75.119164
1993-08-19,1,Eastport,44.904598,-66.982903
1993-08-19,1,Atlantic City,39.356667,-74.418053
1993-08-20,1,Eastport,44.904598,-66.982903
1993-08-20,1,Washington,38.873,-77.0217
1993-08-21,1,Eastport,44.904598,-66.982903
1993-09-17,1,Sandy Hook,40.466944,-74.009444
1993-09-17,1,Eastport,44.904598,-66.982903
1993-09-17,1,Atlantic City,39.356667,-74.418053
1993-09-18,1,Sandy Hook,40.466944,-74.009444
1993-09-18,1,Eastport,44.904598,-66.982903
1993-09-19,1,Eastport,44.904598,-66.982903
1993-10-15,1,Eastport,44.904598,-66.982903
1993-10-16,1,Eastport,44.904598,-66.982903
1993-10-17,1,Sandy Hook,40.466944,-74.009444
1993-10-17,1,Atlantic City,39.356667,-74.418053
1993-10-17,1,Eastport,44.904598,-66.982903
1993-10-18,1,Eastport,44.904598,-66.982903
1993-10-27,1,Lewes,38.78278,-75.119164
1993-10-31,1,Atlantic City,39.356667,-74.418053
1993-10-31,1,Lewes,38.78278,-75.119164
1993-11-14,1,Eastport,44.904598,-66.982903
1993-11-15,1,Eastport,44.904598,-66.982903
1993-11-28,1,Baltimore,39.266944,-76.579444
1993-11-28,1,Atlantic City,39.356667,-74.418053
1993-11-28,1,Lewes,38.78278,-75.119164
1993-11-28,1,Sandy Hook,40.466944,-74.009444
1993-11-28,1,Washington,38.873,-77.0217
1993-11-29,1,Washington,38.873,-77.0217
1993-11-30,1,Washington,38.873,-77.0217
1993-12-05,1,Atlantic City,39.356667,-74.418053
1993-12-07,1,Washington,38.873,-77.0217
1993-12-11,1,Eastport,44.904598,-66.982903
1993-12-12,1,Eastport,44.904598,-66.982903
1993-12-13,1,Lewes,38.78278,-75.119164
1993-12-13,1,Eastport,44.904598,-66.982903
1993-12-14,1,Lewes,38.78278,-75.119164
1993-12-14,1,Sandy Hook,40.466944,-74.009444
1993-12-14,1,Atlantic City,39.356667,-74.418053
1993-12-14,1,Eastport,44.904598,-66.982903
1993-12-15,1,Washington,38.873,-77.0217
1993-12-15,1,Atlantic City,39.356667,-74.418053
1993-12-15,1,Lewes,38.78278,-75.119164
1993-12-15,1,Sewells Point,36.946701,-76.330002
1993-12-15,1,Sandy Hook,40.466944,-74.009444
1993-12-15,1,Eastport,44.904598,-66.982903
1993-12-16,1,Washington,38.873,-77.0217
1993-12-16,1,Sandy Hook,40.466944,-74.009444
1993-12-16,1,Atlantic City,39.356667,-74.418053
1993-12-16,1,Lewes,38.78278,-75.119164
1993-12-16,1,Sewells Point,36.946701,-76.330002
1993-12-17,1,Lewes,38.78278,-75.119164
1993-12-17,1,Atlantic City,39.356667,-74.418053
1993-12-18,1,Washington,38.873,-77.0217
1994-01-04,1,Washington,38.873,-77.0217
1994-01-04,1,Atlantic City,39.356667,-74.418053
1994-01-04,1,Lewes,38.78278,-75.119164
1994-01-04,1,Sandy Hook,40.466944,-74.009444
1994-01-04,1,The Battery,40.700556,-74.014167
1994-01-05,1,Baltimore,39.266944,-76.579444
1994-02-23,1,Washington,38.873,-77.0217
1994-02-24,1,Washington,38.873,-77.0217
1994-02-24,1,Lewes,38.78278,-75.119164
1994-02-25,1,Washington,38.873,-77.0217
1994-03-03,1,Atlantic City,39.356667,-74.418053
1994-03-03,1,Sandy Hook,40.466944,-74.009444
1994-03-03,1,Lewes,38.78278,-75.119164
1994-03-03,1,The Battery,40.700556,-74.014167
1994-03-10,1,Washington,38.873,-77.0217
1994-03-28,1,Washington,38.873,-77.0217
1994-03-28,1,Eastport,44.904598,-66.982903
1994-03-29,1,Washington,38.873,-77.0217
1994-03-29,1,Eastport,44.904598,-66.982903
1994-03-30,1,Washington,38.873,-77.0217
1994-03-30,1,Eastport,44.904598,-66.982903
1994-03-31,1,Washington,38.873,-77.0217
1994-04-26,1,Sandy Hook,40.466944,-74.009444
1994-04-27,1,Sandy Hook,40.466944,-74.009444
1994-05-24,1,Eastport,44.904598,-66.982903
1994-05-25,1,Atlantic City,39.356667,-74.418053
1994-05-25,1,Portland,43.65806,-70.24417
1994-05-25,1,Sandy Hook,40.466944,-74.009444
1994-05-25,1,Eastport,44.904598,-66.982903
1994-05-25,1,Lewes,38.78278,-75.119164
1994-05-26,1,Eastport,44.904598,-66.982903
1994-05-26,1,Portland,43.65806,-70.24417
1994-05-26,1,Sandy Hook,40.466944,-74.009444
1994-05-27,1,Eastport,44.904598,-66.982903
1994-05-27,1,Portland,43.65806,-70.24417
1994-05-27,1,Sandy Hook,40.466944,-74.009444
1994-05-28,1,Eastport,44.904598,-66.982903
1994-06-23,1,Eastport,44.904598,-66.982903
1994-06-24,1,Eastport,44.904598,-66.982903
1994-09-22,1,Sewells Point,36.946701,-76.330002
1994-10-06,1,Eastport,44.904598,-66.982903
1994-11-04,1,Eastport,44.904598,-66.982903
1994-11-05,1,Eastport,44.904598,-66.982903
1994-11-06,1,Eastport,44.904598,-66.982903
1994-11-17,1,Lewes,38.78278,-75.119164
1994-11-17,1,Sewells Point,36.946701,-76.330002
1994-11-18,1,Sewells Point,36.946701,-76.330002
1994-12-03,1,Eastport,44.904598,-66.982903
1994-12-04,1,Eastport,44.904598,-66.982903
1994-12-05,1,Eastport,44.904598,-66.982903
1994-12-24,1,New London,41.361401,-72.089996
1994-12-24,1,Lewes,38.78278,-75.119164
1995-01-01,1,Eastport,44.904598,-66.982903
1995-01-02,1,Eastport,44.904598,-66.982903
1995-01-02,1,Portland,43.65806,-70.24417
1995-01-20,1,Sandy Hook,40.466944,-74.009444
1995-01-20,1,Washington,38.873,-77.0217
1995-01-30,1,Eastport,44.904598,-66.982903
1995-01-31,1,Eastport,44.904598,-66.982903
1995-02-04,1,Sandy Hook,40.466944,-74.009444
1995-04-16,1,Eastport,44.904598,-66.982903
1995-04-17,1,Eastport,44.904598,-66.982903
1995-04-18,1,Eastport,44.904598,-66.982903
1995-05-02,1,Washington,38.873,-77.0217
1995-05-15,1,Eastport,44.904598,-66.982903
1995-05-16,1,Eastport,44.904598,-66.982903
1995-05-16,1,Atlantic City,39.356667,-74.418053
1995-05-17,1,Washington,38.873,-77.0217
1995-05-17,1,Eastport,44.904598,-66.982903
1995-05-18,1,Eastport,44.904598,-66.982903
1995-06-13,1,Eastport,44.904598,-66.982903
1995-06-14,1,Sandy Hook,40.466944,-74.009444
1995-06-14,1,Portland,43.65806,-70.24417
1995-06-14,1,Eastport,44.904598,-66.982903
1995-06-14,1,Lewes,38.78278,-75.119164
1995-06-14,1,Atlantic City,39.356667,-74.418053
1995-06-15,1,Eastport,44.904598,-66.982903
1995-07-12,1,Eastport,44.904598,-66.982903
1995-07-13,1,Eastport,44.904598,-66.982903
1995-07-14,1,Eastport,44.904598,-66.982903
1995-08-07,1,Atlantic City,39.356667,-74.418053
1995-08-07,1,Sewells Point,36.946701,-76.330002
1995-08-07,1,Lewes,38.78278,-75.119164
1995-08-08,1,Sewells Point,36.946701,-76.330002
1995-08-08,1,Baltimore,39.266944,-76.579444
1995-08-08,1,Washington,38.873,-77.0217
1995-08-09,1,Washington,38.873,-77.0217
1995-08-11,1,Eastport,44.904598,-66.982903
1995-08-12,1,Eastport,44.904598,-66.982903
1995-08-13,1,Eastport,44.904598,-66.982903
1995-08-19,1,Washington,38.873,-77.0217
1995-08-20,1,Baltimore,39.266944,-76.579444
1995-08-20,1,Washington,38.873,-77.0217
1995-08-21,1,Washington,38.873,-77.0217
1995-10-06,1,Baltimore,39.266944,-76.579444
1995-10-06,1,Washington,38.873,-77.0217
1995-10-07,1,Sandy Hook,40.466944,-74.009444
1995-10-28,1,Washington,38.873,-77.0217
1995-11-12,1,Baltimore,39.266944,-76.579444
1995-11-14,1,Lewes,38.78278,-75.119164
1995-11-14,1,Atlantic City,39.356667,-74.418053
1995-11-15,1,Sandy Hook,40.466944,-74.009444
1995-11-22,1,Portland,43.65806,-70.24417
1995-11-22,1,Eastport,44.904598,-66.982903
1995-11-23,1,Eastport,44.904598,-66.982903
1995-11-24,1,Eastport,44.904598,-66.982903
1995-12-19,1,Atlantic City,39.356667,-74.418053
1995-12-20,1,Portland,43.65806,-70.24417
1995-12-20,1,Atlantic City,39.356667,-74.418053
1995-12-20,1,Lewes,38.78278,-75.119164
1995-12-20,1,The Battery,40.700556,-74.014167
1995-12-20,1,Sandy Hook,40.466944,-74.009444
1995-12-21,1,Eastport,44.904598,-66.982903
1995-12-22,1,Portland,43.65806,-70.24417
1995-12-22,1,Eastport,44.904598,-66.982903
1995-12-23,1,Atlantic City,39.356667,-74.418053
1995-12-23,1,Portland,43.65806,-70.24417
1995-12-23,1,Eastport,44.904598,-66.982903
1995-12-23,1,Lewes,38.78278,-75.119164
1995-12-23,1,Sandy Hook,40.466944,-74.009444
1995-12-24,1,Portland,43.65806,-70.24417
1995-12-24,1,Eastport,44.904598,-66.982903
1995-12-25,1,Eastport,44.904598,-66.982903
1996-01-07,1,Lewes,38.78278,-75.119164
1996-01-08,1,Atlantic City,39.356667,-74.418053
1996-01-08,1,Lewes,38.78278,-75.119164
1996-01-19,1,Washington,38.873,-77.0217
1996-01-19,1,Baltimore,39.266944,-76.579444
1996-01-19,1,Eastport,44.904598,-66.982903
1996-01-20,1,Washington,38.873,-77.0217
1996-01-21,1,Washington,38.873,-77.0217
1996-01-22,1,Washington,38.873,-77.0217
1996-01-23,1,Washington,38.873,-77.0217
1996-01-24,1,Washington,38.873,-77.0217
1996-01-27,1,Washington,38.873,-77.0217
1996-01-27,1,Baltimore,39.266944,-76.579444
1996-03-19,1,Atlantic City,39.356667,-74.418053
1996-03-20,1,Sandy Hook,40.466944,-74.009444
1996-03-20,1,Lewes,38.78278,-75.119164
1996-03-20,1,Atlantic City,39.356667,-74.418053
1996-03-20,1,The Battery,40.700556,-74.014167
1996-03-20,1,Baltimore,39.266944,-76.579444
1996-03-20,1,Washington,38.873,-77.0217
1996-03-21,1,Washington,38.873,-77.0217
1996-03-21,1,Eastport,44.904598,-66.982903
1996-04-08,1,Atlantic City,39.356667,-74.418053
1996-04-09,1,Washington,38.873,-77.0217
1996-04-09,1,Baltimore,39.266944,-76.579444
1996-04-16,1,Baltimore,39.266944,-76.579444
1996-04-16,1,Washington,38.873,-77.0217
1996-04-16,1,Sandy Hook,40.466944,-74.009444
1996-06-04,1,Eastport,44.904598,-66.982903
1996-06-04,1,Atlantic City,39.356667,-74.418053
1996-06-20,1,Washington,38.873,-77.0217
1996-06-30,1,Washington,38.873,-77.0217
1996-07-01,1,Eastport,44.904598,-66.982903
1996-07-01,1,Washington,38.873,-77.0217
1996-07-02,1,Eastport,44.904598,-66.982903
1996-07-03,1,Sandy Hook,40.466944,-74.009444
1996-07-03,1,Eastport,44.904598,-66.982903
1996-07-03,1,Portland,43.65806,-70.24417
1996-07-04,1,Sandy Hook,40.466944,-74.009444
1996-07-04,1,Atlantic City,39.356667,-74.418053
1996-07-04,1,Eastport,44.904598,-66.982903
1996-07-04,1,Portland,43.65806,-70.24417
1996-07-13,1,Washington,38.873,-77.0217
1996-07-30,1,Washington,38.873,-77.0217
1996-07-31,1,Washington,38.873,-77.0217
1996-07-31,1,Eastport,44.904598,-66.982903
1996-07-31,1,Sandy Hook,40.466944,-74.009444
1996-07-31,1,Atlantic City,39.356667,-74.418053
1996-08-01,1,Sandy Hook,40.466944,-74.009444
1996-08-01,1,Eastport,44.904598,-66.982903
1996-08-01,1,Atlantic City,39.356667,-74.418053
1996-08-02,1,Eastport,44.904598,-66.982903
1996-08-13,1,Washington,38.873,-77.0217
1996-08-15,1,Washington,38.873,-77.0217
1996-08-29,1,Atlantic City,39.356667,-74.418053
1996-08-29,1,Sandy Hook,40.466944,-74.009444
1996-08-29,1,Lewes,38.78278,-75.119164
1996-08-29,1,Eastport,44.904598,-66.982903
1996-08-30,1,Eastport,44.904598,-66.982903
1996-08-31,1,Eastport,44.904598,-66.982903
1996-09-03,1,Washington,38.873,-77.0217
1996-09-05,1,Washington,38.873,-77.0217
1996-09-06,1,Baltimore,39.266944,-76.579444
1996-09-06,1,Washington,38.873,-77.0217
1996-09-07,1,Washington,38.873,-77.0217
1996-09-07,1,Baltimore,39.266944,-76.579444
1996-09-08,1,Washington,38.873,-77.0217
1996-09-09,1,Washington,38.873,-77.0217
1996-09-10,1,Washington,38.873,-77.0217
1996-09-13,1,Washington,38.873,-77.0217
1996-09-14,1,Washington,38.873,-77.0217
1996-09-17,1,Washington,38.873,-77.0217
1996-09-17,1,Sandy Hook,40.466944,-74.009444
1996-09-22,1,Washington,38.873,-77.0217
1996-09-24,1,Washington,38.873,-77.0217
1996-09-24,1,Lewes,38.78278,-75.119164
1996-09-24,1,Atlantic City,39.356667,-74.418053
1996-09-25,1,Washington,38.873,-77.0217
1996-09-26,1,Eastport,44.904598,-66.982903
1996-09-27,1,Eastport,44.904598,-66.982903
1996-09-27,1,Washington,38.873,-77.0217
1996-09-28,1,Eastport,44.904598,-66.982903
1996-09-28,1,Washington,38.873,-77.0217
1996-09-29,1,Baltimore,39.266944,-76.579444
1996-09-29,1,Washington,38.873,-77.0217
1996-10-08,1,Atlantic City,39.356667,-74.418053
1996-10-08,1,Sewells Point,36.946701,-76.330002
1996-10-08,1,Lewes,38.78278,-75.119164
1996-10-09,1,Sewells Point,36.946701,-76.330002
1996-10-09,1,Lewes,38.78278,-75.119164
1996-10-10,1,Washington,38.873,-77.0217
1996-10-19,1,Washington,38.873,-77.0217
1996-10-19,1,The Battery,40.700556,-74.014167
1996-10-19,1,New London,41.361401,-72.089996
1996-10-19,1,Atlantic City,39.356667,-74.418053
1996-10-20,1,New London,41.361401,-72.089996
1996-10-20,1,Washington,38.873,-77.0217
1996-10-21,1,Baltimore,39.266944,-76.579444
1996-10-21,1,Washington,38.873,-77.0217
1996-10-22,1,Washington,38.873,-77.0217
1996-10-23,1,Washington,38.873,-77.0217
1996-11-08,1,Washington,38.873,-77.0217
1996-11-19,1,Washington,38.873,-77.0217
1996-12-02,1,Baltimore,39.266944,-76.579444
1996-12-02,1,Washington,38.873,-77.0217
1996-12-06,1,Washington,38.873,-77.0217
1996-12-06,1,Atlantic City,39.356667,-74.418053
1996-12-06,1,Sandy Hook,40.466944,-74.009444
1996-12-07,1,Washington,38.873,-77.0217
1996-12-08,1,Atlantic City,39.356667,-74.418053
1996-12-08,1,Washington,38.873,-77.0217
1996-12-09,1,Washington,38.873,-77.0217
1996-12-09,1,Sandy Hook,40.466944,-74.009444
1996-12-10,1,Sandy Hook,40.466944,-74.009444
1996-12-12,1,Atlantic City,39.356667,-74.418053
1996-12-12,1,Sandy Hook,40.466944,-74.009444
1996-12-13,1,Atlantic City,39.356667,-74.418053
1996-12-13,1,Sandy Hook,40.466944,-74.009444
1996-12-13,1,The Battery,40.700556,-74.014167
1996-12-13,1,Lewes,38.78278,-75.119164
1996-12-14,1,Sandy Hook,40.466944,-74.009444
1996-12-14,1,Lewes,38.78278,-75.119164
1996-12-14,1,Washington,38.873,-77.0217
1996-12-14,1,Atlantic City,39.356667,-74.418053
1996-12-15,1,Lewes,38.78278,-75.119164
1996-12-15,1,Atlantic City,39.356667,-74.418053
1996-12-15,1,Sandy Hook,40.466944,-74.009444
1996-12-16,1,Washington,38.873,-77.0217
1996-12-17,1,Washington,38.873,-77.0217
1997-01-05,1,Baltimore,39.266944,-76.579444
1997-01-05,1,Washington,38.873,-77.0217
1997-01-10,1,The Battery,40.700556,-74.014167
1997-01-10,1,New London,41.361401,-72.089996
1997-01-10,1,Atlantic City,39.356667,-74.418053
1997-01-10,1,Portland,43.65806,-70.24417
1997-01-10,1,Eastport,44.904598,-66.982903
1997-01-10,1,Newport,41.504333,-71.326139
1997-01-10,1,Sandy Hook,40.466944,-74.009444
1997-01-11,1,Portland,43.65806,-70.24417
1997-01-11,1,Eastport,44.904598,-66.982903
1997-01-12,1,Eastport,44.904598,-66.982903
1997-02-05,1,Sandy Hook,40.466944,-74.009444
1997-02-07,1,Eastport,44.904598,-66.982903
1997-02-08,1,Eastport,44.904598,-66.982903
1997-02-09,1,Sandy Hook,40.466944,-74.009444
1997-02-09,1,Lewes,38.78278,-75.119164
1997-02-09,1,Atlantic City,39.356667,-74.418053
1997-02-09,1,Eastport,44.904598,-66.982903
1997-02-10,1,Eastport,44.904598,-66.982903
1997-03-05,1,Washington,38.873,-77.0217
1997-03-06,1,Washington,38.873,-77.0217
1997-03-10,1,Eastport,44.904598,-66.982903
1997-03-10,1,Sandy Hook,40.466944,-74.009444
1997-03-11,1,Eastport,44.904598,-66.982903
1997-03-12,1,Eastport,44.904598,-66.982903
1997-03-14,1,Washington,38.873,-77.0217
1997-04-07,1,Eastport,44.904598,-66.982903
1997-04-07,1,Washington,38.873,-77.0217
1997-04-08,1,Eastport,44.904598,-66.982903
1997-04-09,1,Eastport,44.904598,-66.982903
1997-04-21,1,Washington,38.873,-77.0217
1997-04-24,1,Lewes,38.78278,-75.119164
1997-04-24,1,Sewells Point,36.946701,-76.330002
1997-04-25,1,Sandy Hook,40.466944,-74.009444
1997-04-25,1,Atlantic City,39.356667,-74.418053
1997-04-25,1,Lewes,38.78278,-75.119164
1997-04-25,1,Washington,38.873,-77.0217
1997-05-03,1,Washington,38.873,-77.0217
1997-05-07,1,Eastport,44.904598,-66.982903
1997-06-02,1,Lewes,38.78278,-75.119164
1997-06-02,1,Atlantic City,39.356667,-74.418053
1997-06-02,1,Sandy Hook,40.466944,-74.009444
1997-06-03,1,Lewes,38.78278,-75.119164
1997-06-04,1,Washington,38.873,-77.0217
1997-06-04,1,Lewes,38.78278,-75.119164
1997-06-04,1,Sewells Point,36.946701,-76.330002
1997-06-05,1,Baltimore,39.266944,-76.579444
1997-06-05,1,Lewes,38.78278,-75.119164
1997-06-05,1,Atlantic City,39.356667,-74.418053
1997-06-05,1,Sewells Point,36.946701,-76.330002
1997-06-05,1,Washington,38.873,-77.0217
1997-06-05,1,Sandy Hook,40.466944,-74.009444
1997-06-06,1,Washington,38.873,-77.0217
1997-06-07,1,Washington,38.873,-77.0217
1997-08-19,1,Lewes,38.78278,-75.119164
1997-08-19,1,Atlantic City,39.356667,-74.418053
1997-08-21,1,Lewes,38.78278,-75.119164
1997-08-21,1,Washington,38.873,-77.0217
1997-08-21,1,Atlantic City,39.356667,-74.418053
1997-08-21,1,Sandy Hook,40.466944,-74.009444
1997-08-21,1,New London,41.361401,-72.089996
1997-09-11,1,Baltimore,39.266944,-76.579444
1997-09-11,1,Washington,38.873,-77.0217
1997-09-17,1,Eastport,44.904598,-66.982903
1997-09-18,1,Eastport,44.904598,-66.982903
1997-09-18,1,Sandy Hook,40.466944,-74.009444
1997-09-19,1,Eastport,44.904598,-66.982903
1997-10-15,1,Sandy Hook,40.466944,-74.009444
1997-10-16,1,Lewes,38.78278,-75.119164
1997-10-16,1,Sandy Hook,40.466944,-74.009444
1997-10-16,1,Atlantic City,39.356667,-74.418053
1997-10-16,1,Sewells Point,36.946701,-76.330002
1997-10-16,1,Eastport,44.904598,-66.982903
1997-10-17,1,Eastport,44.904598,-66.982903
1997-10-17,1,Atlantic City,39.356667,-74.418053
1997-10-17,1,Lewes,38.78278,-75.119164
1997-10-17,1,Sandy Hook,40.466944,-74.009444
1997-10-18,1,Sandy Hook,40.466944,-74.009444
1997-10-18,1,Lewes,38.78278,-75.119164
1997-10-18,1,Eastport,44.904598,-66.982903
1997-10-18,1,Sewells Point,36.946701,-76.330002
1997-10-18,1,Atlantic City,39.356667,-74.418053
1997-10-19,1,Sandy Hook,40.466944,-74.009444
1997-10-19,1,Sewells Point,36.946701,-76.330002
1997-10-19,1,Atlantic City,39.356667,-74.418053
1997-10-19,1,Lewes,38.78278,-75.119164
1997-10-20,1,Sandy Hook,40.466944,-74.009444
1997-10-20,1,Lewes,38.78278,-75.119164
1997-10-20,1,Atlantic City,39.356667,-74.418053
1997-11-02,1,New London,41.361401,-72.089996
1997-11-02,1,Washington,38.873,-77.0217
1997-11-07,1,Lewes,38.78278,-75.119164
1997-11-07,1,Atlantic City,39.356667,-74.418053
1997-11-08,1,Washington,38.873,-77.0217
1997-11-08,1,Lewes,38.78278,-75.119164
1997-11-09,1,Washington,38.873,-77.0217
1997-11-14,1,Atlantic City,39.356667,-74.418053
1997-11-14,1,Sandy Hook,40.466944,-74.009444
1997-11-14,1,Lewes,38.78278,-75.119164
1997-11-15,1,Atlantic City,39.356667,-74.418053
1997-11-15,1,Sandy Hook,40.466944,-74.009444
1997-11-15,1,Portland,43.65806,-70.24417
1997-11-15,1,Lewes,38.78278,-75.119164
1997-11-15,1,Eastport,44.904598,-66.982903
1997-11-16,1,Washington,38.873,-77.0217
1997-11-16,1,Eastport,44.904598,-66.982903
1997-12-30,1,Sandy Hook,40.466944,-74.009444
1997-12-30,1,Eastport,44.904598,-66.982903
1997-12-30,1,Atlantic City,39.356667,-74.418053
1998-01-10,1,Washington,38.873,-77.0217
1998-01-11,1,Washington,38.873,-77.0217
1998-01-12,1,Washington,38.873,-77.0217
1998-01-18,1,Washington,38.873,-77.0217
1998-01-23,1,Baltimore,39.266944,-76.579444
1998-01-23,1,Washington,38.873,-77.0217
1998-01-28,1,Lewes,38.78278,-75.119164
1998-01-28,1,Sandy Hook,40.466944,-74.009444
1998-01-28,1,Sewells Point,36.946701,-76.330002
1998-01-28,1,Atlantic City,39.356667,-74.418053
1998-01-29,1,Atlantic City,39.356667,-74.418053
1998-01-29,1,Sandy Hook,40.466944,-74.009444
1998-01-29,1,Sewells Point,36.946701,-76.330002
1998-01-29,1,Eastport,44.904598,-66.982903
1998-01-29,1,Washington,38.873,-77.0217
1998-01-29,1,The Battery,40.700556,-74.014167
1998-01-29,1,Lewes,38.78278,-75.119164
1998-01-29,1,Portland,43.65806,-70.24417
1998-01-29,1,Baltimore,39.266944,-76.579444
1998-01-30,1,Baltimore,39.266944,-76.579444
1998-01-30,1,Sandy Hook,40.466944,-74.009444
1998-01-30,1,Washington,38.873,-77.0217
1998-01-30,1,Eastport,44.904598,-66.982903
1998-01-30,1,Atlantic City,39.356667,-74.418053
1998-01-30,1,Lewes,38.78278,-75.119164
1998-01-31,1,Washington,38.873,-77.0217
1998-01-31,1,Eastport,44.904598,-66.982903
1998-02-04,1,Lewes,38.78278,-75.119164
1998-02-04,1,Sewells Point,36.946701,-76.330002
1998-02-05,1,Atlantic City,39.356667,-74.418053
1998-02-05,1,Sandy Hook,40.466944,-74.009444
1998-02-05,1,Washington,38.873,-77.0217
1998-02-05,1,Sewells Point,36.946701,-76.330002
1998-02-05,1,Lewes,38.78278,-75.119164
1998-02-05,1,Baltimore,39.266944,-76.579444
1998-02-06,1,Sewells Point,36.946701,-76.330002
1998-02-06,1,Sandy Hook,40.466944,-74.009444
1998-02-06,1,Lewes,38.78278,-75.119164
1998-02-06,1,Baltimore,39.266944,-76.579444
1998-02-06,1,Atlantic City,39.356667,-74.418053
1998-02-06,1,Washington,38.873,-77.0217
1998-02-07,1,Sewells Point,36.946701,-76.330002
1998-02-07,1,Washington,38.873,-77.0217
1998-02-07,1,Baltimore,39.266944,-76.579444
1998-02-08,1,Lewes,38.78278,-75.119164
1998-02-08,1,Sewells Point,36.946701,-76.330002
1998-02-08,1,Washington,38.873,-77.0217
1998-02-09,1,Sewells Point,36.946701,-76.330002
1998-02-09,1,Washington,38.873,-77.0217
1998-02-10,1,Washington,38.873,-77.0217
1998-02-18,1,Washington,38.873,-77.0217
1998-02-18,1,Baltimore,39.266944,-76.579444
1998-02-19,1,Washington,38.873,-77.0217
1998-02-20,1,Washington,38.873,-77.0217
1998-02-23,1,Washington,38.873,-77.0217
1998-02-23,1,Lewes,38.78278,-75.119164
1998-02-24,1,New London,41.361401,-72.089996
1998-02-24,1,Atlantic City,39.356667,-74.418053
1998-02-24,1,Sandy Hook,40.466944,-74.009444
1998-02-24,1,The Battery,40.700556,-74.014167
1998-02-24,1,Lewes,38.78278,-75.119164
1998-02-26,1,Eastport,44.904598,-66.982903
1998-02-27,1,Washington,38.873,-77.0217
1998-02-27,1,Sandy Hook,40.466944,-74.009444
1998-02-27,1,Lewes,38.78278,-75.119164
1998-02-27,1,Atlantic City,39.356667,-74.418053
1998-02-27,1,Eastport,44.904598,-66.982903
1998-02-27,1,Portland,43.65806,-70.24417
1998-02-28,1,Lewes,38.78278,-75.119164
1998-02-28,1,Eastport,44.904598,-66.982903
1998-02-28,1,Atlantic City,39.356667,-74.418053
1998-02-28,1,Sandy Hook,40.466944,-74.009444
1998-02-28,1,Washington,38.873,-77.0217
